17,17
11,0
13,12
13,9
11,0
13,0
13,11
10,0
7,0
10,1
8,0
8,0
16,0
10,0
16,15
14,13
8,5
16,15
10,4
14,6
10,1
14,1
11,0
10,2
10,0
11,2
12,0
11,0
11,0
14,0
12,7
12,1
17,0
11,0
13,0
14,0
9,0
12,0
8,0
14,0
16,0
10,1
14,10
15,7
16,15
13,13
9,1
13,2
14,4
12,7
12,0
13,0
11,7
12,1
15,11
12,0
13,5
18,0
16,15
12,0
14,13
10,0
14,8
13,0
16,0
12,0
11,0
14,2
8,2
11,1
14,10
13,0
10,1
12,0
15,0
12,0
12,1
9,1
8,0
16,0
16,0
14,0
11,1
10,0
15,0
11,0
11,0
10,0
10,4
8,1
17,17
14,12
14,13
11,0
11,0
12,0
14,2
14,13
11,7
17,16
